uuid,name,description,local-name,local-description,class,datatype,shortname,is-set,reference-term-source,reference-term-code,reference-term-name,reference-term-relationship,units,high-normal,low-normal,member-of,member-of-sort-weight,answer-of,answer-of-sort-weight,,,,,,,,,,,,,,,,,,,,,,,
,"Protozoal intestinal disease, unspecified",,,,,,,,ICD10-BD,A07.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Viral and other specified intestinal infections,,,,,,,,ICD10-BD,A08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rotaviral enteritis,,,,,,,,ICD10-BD,A08.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acute gastroenteropathy due to Norwalk agent,,,,,,,,ICD10-BD,A08.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adenoviral enteritis,,,,,,,,ICD10-BD,A08.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other viral enteritis,,,,,,,,ICD10-BD,A08.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Viral intestinal infection, unspecified",,,,,,,,ICD10-BD,A08.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other specified intestinal infections,,,,,,,,ICD10-BD,A08.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diarrhea and gastroenteritis of infectious origin,,"ডায়রিয়া, পাতলা পায়খানা",,,,,,ICD10-BD,A09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other and unspecified gastroenteritis and colitis of infectious origin,,"ডায়রিয়া, পাতলা পায়খানা",,,,,,ICD10-BD,A09.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gastroenteritis and colitis of unspecified origin,,"ডায়রিয়া, পাতলা পায়খানা",,,,,,ICD10-BD,A09.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",,যক্ষ্মা,,,,,,ICD10-BD,A16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",,যক্ষ্মা,,,,,,ICD10-BD,A16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",,যক্ষ্মা,,,,,,ICD10-BD,A16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tuberculosis of larynx, trachea, and bronchus, without mention of bacteriological or histological confirmation",,যক্ষ্মা,,,,,,ICD10-BD,A16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",,যক্ষ্মা,,,,,,ICD10-BD,A16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,,যক্ষ্মা,,,,,,ICD10-BD,A16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",,যক্ষ্মা,,,,,,ICD10-BD,A16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",,যক্ষ্মা,,,,,,ICD10-BD,A16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tuberculosis of nervous system,,,,,,,,ICD10-BD,A17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tuberculous meningitis,,,,,,,,ICD10-BD,A17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Meningeal tuberculoma,,,,,,,,ICD10-BD,A17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other tuberculosis of nervous system,,,,,,,,ICD10-BD,A17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tuberculosis of nervous system, unspecified",,,,,,,,ICD10-BD,A17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tuberculosis of other organs,,,,,,,,ICD10-BD,A18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tuberculosis of bones and joints,,,,,,,,ICD10-BD,A18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tuberculosis of genitourinary system,,,,,,,,ICD10-BD,A18.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tuberculous peripheral lymphadenopathy,,,,,,,,ICD10-BD,A18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tuberculosis of intestines, peritoneum, and mesenteric glands",,,,,,,,ICD10-BD,A18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tuberculosis of skin and subcutaneous tissue,,,,,,,,ICD10-BD,A18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tuberculosis of eye,,,,,,,,ICD10-BD,A18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tuberculosis of ear,,,,,,,,ICD10-BD,A18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tuberculosis of adrenal glands,,,,,,,,ICD10-BD,A18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tuberculosis of other specified organs,,,,,,,,ICD10-BD,A18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Miliary tuberculosis,,,,,,,,ICD10-BD,A19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acute miliary tuberculosis of a single specified site,,,,,,,,ICD10-BD,A19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acute miliary tuberculosis of multiple sites,,,,,,,,ICD10-BD,A19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Acute miliary tuberculosis, unspecified",,,,,,,,ICD10-BD,A19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other miliary tuberculosis,,,,,,,,ICD10-BD,A19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Miliary tuberculosis, unspecified",,,,,,,,ICD10-BD,A19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plague,,প্লেগ,,,,,,ICD10-BD,A20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bubonic plague,,,,,,,,ICD10-BD,A20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cellulocutaneous plague,,,,,,,,ICD10-BD,A20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pneumonic plague,,,,,,,,ICD10-BD,A20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Plague meningitis,,,,,,,,ICD10-BD,A20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Septicemic plague,,,,,,,,ICD10-BD,A20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other forms of plague,,,,,,,,ICD10-BD,A20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Plague, unspecified",,,,,,,,ICD10-BD,A20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tularemia,,,,,,,,ICD10-BD,A21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ulceroglandular tularemia,,,,,,,,ICD10-BD,A21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oculoglandular tularemia,,,,,,,,ICD10-BD,A21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pulmonary tularemia,,,,,,,,ICD10-BD,A21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gastrointestinal tularemia,,,,,,,,ICD10-BD,A21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Generalized tularemia,,,,,,,,ICD10-BD,A21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other forms of tularemia,,,,,,,,ICD10-BD,A21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Tularemia, unspecified",,,,,,,,ICD10-BD,A21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anthrax,,তড়কা,,,,,,ICD10-BD,A22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cutaneous anthrax,,,,,,,,ICD10-BD,A22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pulmonary anthrax,,,,,,,,ICD10-BD,A22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gastrointestinal anthrax,,,,,,,,ICD10-BD,A22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anthrax septicemia,,,,,,,,ICD10-BD,A22.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other forms of anthrax,,,,,,,,ICD10-BD,A22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Anthrax, unspecified",,,,,,,,ICD10-BD,A22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brucellosis,,,,,,,,ICD10-BD,A23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brucellosis due to Brucella melitensis,,,,,,,,ICD10-BD,A23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brucellosis due to Brucella abortus,,,,,,,,ICD10-BD,A23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brucellosis due to Brucella suis,,,,,,,,ICD10-BD,A23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brucellosis due to Brucella canis,,,,,,,,ICD10-BD,A23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other brucellosis,,,,,,,,ICD10-BD,A23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Brucellosis, unspecified",,,,,,,,ICD10-BD,A23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Glanders and melioidosis,,,,,,,,ICD10-BD,A24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Glanders,,,,,,,,ICD10-BD,A24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acute and fulminating melioidosis,,,,,,,,ICD10-BD,A24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subacute and chronic melioidosis,,,,,,,,ICD10-BD,A24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other melioidosis,,,,,,,,ICD10-BD,A24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Melioidosis, unspecified",,,,,,,,ICD10-BD,A24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rat-bite fevers,,,,,,,,ICD10-BD,A25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spirillosis,,,,,,,,ICD10-BD,A25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Streptobacillosis,,,,,,,,ICD10-BD,A25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Rat-bite fever, unspecified",,,,,,,,ICD10-BD,A25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Erysipeloid,,,,,,,,ICD10-BD,A26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cutaneous erysipeloid,,,,,,,,ICD10-BD,A26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Erysipelothrix septicemia,,,,,,,,ICD10-BD,A26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other forms of erysipeloid,,,,,,,,ICD10-BD,A26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Erysipeloid, unspecified",,,,,,,,ICD10-BD,A26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leptospirosis,,,,,,,,ICD10-BD,A27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leptospirosis icterohemorrhagica,,,,,,,,ICD10-BD,A27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other forms of leptospirosis,,,,,,,,ICD10-BD,A27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Leptospirosis, unspecified",,,,,,,,ICD10-BD,A27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Other zoonotic bacterial diseases, not elsewhere classified",,,,,,,,ICD10-BD,A28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pasteurellosis,,,,,,,,ICD10-BD,A28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cat-scratch disease,,,,,,,,ICD10-BD,A28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Extraintestinal yersiniosis,,,,,,,,ICD10-BD,A28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Other specified zoonotic bacterial diseases, not elsewhere classified",,,,,,,,ICD10-BD,A28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Zoonotic bacterial disease, unspecified",,,,,,,,ICD10-BD,A28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leprosy [Hansen's disease],,কুষ্ঠ,,,,,,ICD10-BD,A30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Indeterminate leprosy,,,,,,,,ICD10-BD,A30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tuberculoid leprosy,,,,,,,,ICD10-BD,A30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Borderline tuberculoid leprosy,,,,,,,,ICD10-BD,A30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Borderline leprosy,,,,,,,,ICD10-BD,A30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Borderline lepromatous leprosy,,,,,,,,ICD10-BD,A30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lepromatous leprosy,,,,,,,,ICD10-BD,A30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other forms of leprosy,,,,,,,,ICD10-BD,A30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Leprosy, unspecified",,,,,,,,ICD10-BD,A30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Infection due to other mycobacteria,,,,,,,,ICD10-BD,A31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pulmonary mycobacterial infection,,,,,,,,ICD10-BD,A31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cutaneous mycobacterial infection,,,,,,,,ICD10-BD,A31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other mycobacterial infections,,,,,,,,ICD10-BD,A31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mycobacterial infection, unspecified",,,,,,,,ICD10-BD,A31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Listeriosis,,,,,,,,ICD10-BD,A32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cutaneous listeriosis,,,,,,,,ICD10-BD,A32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Listerial meningitis and meningoencephalitis,,,,,,,,ICD10-BD,A32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Listerial septicemia,,,,,,,,ICD10-BD,A32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other forms of listeriosis,,,,,,,,ICD10-BD,A32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Listeriosis, unspecified",,,,,,,,ICD10-BD,A32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tetanus neonatorum,,ধনুষ্টংকার,,,,,,ICD10-BD,A33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Obstetrical tetanus,,ধনুষ্টংকার,,,,,,ICD10-BD,A34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other tetanus,,ধনুষ্টংকার,,,,,,ICD10-BD,A35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diphtheria,,ডিপথেরিয়া,,,,,,ICD10-BD,A36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pharyngeal diphtheria,,,,,,,,ICD10-BD,A36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nasopharyngeal diphtheria,,,,,,,,ICD10-BD,A36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Laryngeal diphtheria,,,,,,,,ICD10-BD,A36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cutaneous diphtheria,,,,,,,,ICD10-BD,A36.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other diphtheria,,,,,,,,ICD10-BD,A36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Diphtheria, unspecified",,,,,,,,ICD10-BD,A36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Whooping cough,,হুপিং কাশি,,,,,,ICD10-BD,A37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Whooping cough due to Bordetella pertussis,,,,,,,,ICD10-BD,A37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Whooping cough due to Bordetella parapertussis,,,,,,,,ICD10-BD,A37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Whooping cough due to other Bordetella species,,,,,,,,ICD10-BD,A37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Whooping cough, unspecified",,,,,,,,ICD10-BD,A37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scarlet fever,,,,,,,,ICD10-BD,A38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Meningococcal infection,,,,,,,,ICD10-BD,A39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Meningococcal meningitis,,,,,,,,ICD10-BD,A39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Waterhouse-Friderichsen syndrome,,,,,,,,ICD10-BD,A39.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Acute meningococcemia,,,,,,,,ICD10-BD,A39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chronic meningococcemia,,,,,,,,ICD10-BD,A39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Meningococcemia, unspecified",,,,,,,,ICD10-BD,A39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Meningococcal heart disease,,,,,,,,ICD10-BD,A39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other meningococcal infections,,,,,,,,ICD10-BD,A39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Meningococcal infection, unspecified",,,,,,,,ICD10-BD,A39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Streptococcal septicemia,,,,,,,,ICD10-BD,A40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Septicemia due to streptococcus, group A",,,,,,,,ICD10-BD,A40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
