optionsetid,optionvalue,,sort_order
2,A410 Septicaemia due to Staphylococcus aureus,,219
2,A411 Septicaemia due to other specified staphylococcus,,220
2,A412 Septicaemia due to unspecified staphylococcus,,221
2,A413 Septicaemia due to Haemophilus influenzae,,222
2,A414 Septicaemia due to anaerobes,,223
2,A415 Septicaemia due to other Gram-negative organisms,,224
2,A418 Other specified septicaemia,,225
2,"A419 Septicaemia, unspecified",,226
2,A42 Actinomycosis,,227
2,A420 Pulmonary actinomycosis,,228
2,A421 Abdominal actinomycosis,,229
2,A422 Cervicofacial actinomycosis,,230
2,A427 Actinomycotic septicaemia,,231
2,A428 Other forms of actinomycosis,,232
2,"A429 Actinomycosis, unspecified",,233
2,A43 Nocardiosis,,234
2,A430 Pulmonary nocardiosis,,235
2,A431 Cutaneous nocardiosis,,236
2,A438 Other forms of nocardiosis,,237
2,"A439 Nocardiosis, unspecified",,238
2,A44 Bartonellosis,,239
2,A440 Systemic bartonellosis,,240
2,A441 Cutaneous and mucocutaneous bartonellosis,,241
2,A448 Other forms of bartonellosis,,242
2,"A449 Bartonellosis, unspecified",,243
2,A46 Erysipelas,,244
2,"A48 Other bacterial diseases, NEC",,245
2,A480 Gas gangrene,,246
2,A481 Legionnaires disease,,247
2,A482 Nonpneumonic Legionnaires disease [Pontiac fever],,248
2,A483 Toxic shock syndrome,,249
2,A484 Brazilian purpuric fever,,250
2,A488 Other specified bacterial diseases,,251
2,A49 Bacterial infection of unspecified site,,252
2,"A490 Staphylococcal infection, unspecified",,253
2,"A491 Streptococcal infection, unspecified",,254
2,"A492 Haemophilus influenzae infection, unspecified",,255
2,"A493 Mycoplasma infection, unspecified",,256
2,A498 Other bacterial infections of unspecified site,,257
2,"A499 Bacterial infection, unspecified",,258
2,A50 Congenital syphilis,,259
2,"A500 Early congenital syphilis, symptomatic",,260
2,"A501 Early congenital syphilis, latent",,261
2,"A502 Early congenital syphilis, unspecified",,262
2,A503 Late congenital syphilitic oculopathy,,263
2,A504 Late congenital neurosyphilis [juvenile neurosyphilis],,264
2,"A505 Other late congenital syphilis, symptomatic",,265
2,"A506 Late congenital syphilis, latent",,266
2,"A507 Late congenital syphilis, unspecified",,267
2,"A509 Congenital syphilis, unspecified",,268
2,A51 Early syphilis,,269
2,A510 Primary genital syphilis,,270
2,A511 Primary anal syphilis,,271
2,A512 Primary syphilis of other sites,,272
2,A513 Secondary syphilis of skin and mucous membranes,,273
2,A514 Other secondary syphilis,,274
2,"A515 Early syphilis, latent",,275
2,"A519 Early syphilis, unspecified",,276
2,A52 Late syphilis,,277
2,A520 Cardiovascular syphilis,,278
2,A521 Symptomatic neurosyphilis,,279
2,A522 Asymptomatic neurosyphilis,,280
2,"A523 Neurosyphilis, unspecified",,281
2,A527 Other symptomatic late syphilis,,282
2,"A528 Late syphilis, latent",,283
2,"A529 Late syphilis, unspecified",,284
2,A53 Other and unspecified syphilis,,285
2,"A530 Latent syphilis, unspecified as early or late",,286
2,"A539 Syphilis, unspecified",,287
2,A54 Gonococcal infection,,288
2,A540 Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,,289
2,A541 Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,,290
2,A542 Gonococcal pelviperitonitis and other gonococcal genitourinary infections,,291
2,A543 Gonococcal infection of eye,,292
2,A544 Gonococcal infection of musculoskeletal system,,293
2,A545 Gonococcal pharyngitis,,294
2,A546 Gonococcal infection of anus and rectum,,295
2,A548 Other gonococcal infections,,296
2,"A549 Gonococcal infection, unspecified",,297
2,A55 Chlamydial lymphogranuloma (venereum),,298
2,A56 Other sexually transmitted chlamydial diseases,,299
2,A560 Chlamydial infection of lower genitourinary tract,,300
2,A561 Chlamydial infection of pelviperitoneum and other genitourinary organs,,301
2,"A562 Chlamydial infection of genitourinary tract, unspecified",,302
2,A563 Chlamydial infection of anus and rectum,,303
2,A564 Chlamydial infection of pharynx,,304
2,A568 Sexually transmitted chlamydial infection of other sites,,305
2,A57 Chancroid,,306
2,A58 Granuloma inguinale,,307
2,A59 Trichomoniasis,,308
2,A590 Urogenital trichomoniasis,,309
2,A598 Trichomoniasis of other sites,,310
2,"A599 Trichomoniasis, unspecified",,311
2,A60 Anogenital herpesviral [herpes simplex] infection,,312
2,A600 Herpesviral infection of genitalia and urogenital tract,,313
2,A601 Herpesviral infection of perianal skin and rectum,,314
2,"A609 Anogenital herpesviral infection, unspecified",,315
2,"A63 Other predominantly sexually transmitted diseases, NEC",,316
2,A630 Anogenital (venereal) warts,,317
2,A638 Other specified predominantly sexually transmitted diseases,,318
2,A64 Unspecified sexually transmitted disease,,319
2,A65 Nonvenereal syphilis,,320
2,A66 Yaws,,321
2,A660 Initial lesions of yaws,,322
2,A661 Multiple papillomata and wet crab yaws,,323
2,A662 Other early skin lesions of yaws,,324
2,A663 Hyperkeratosis of yaws,,325
2,A664 Gummata and ulcers of yaws,,326
2,A665 Gangosa,,327
2,A666 Bone and joint lesions of yaws,,328
2,A667 Other manifestations of yaws,,329
2,A668 Latent yaws,,330
2,"A669 Yaws, unspecified",,331
2,A67 Pinta [carate],,332
2,A670 Primary lesions of pinta,,333
2,A671 Intermediate lesions of pinta,,334
2,A672 Late lesions of pinta,,335
2,A673 Mixed lesions of pinta,,336
2,"A679 Pinta, unspecified",,337
2,A68 Relapsing fevers,,338
2,A680 Louse-borne relapsing fever,,339
2,A681 Tick-borne relapsing fever,,340
2,"A689 Relapsing fever, unspecified",,341
2,A69 Other spirochaetal infections,,342
2,A690 Necrotizing ulcerative stomatitis,,343
2,A691 Other Vincents infections,,344
2,A692 Lyme disease,,345
2,A698 Other specified spirochaetal infections,,346
2,"A699 Spirochaetal infection, unspecified",,347
2,A70 Chlamydia psittaci infection,,348
2,A71 Trachoma,,349
2,A710 Initial stage of trachoma,,350
2,A711 Active stage of trachoma,,351
2,"A719 Trachoma, unspecified",,352
2,A74 Other diseases caused by chlamydiae,,353
2,A740 Chlamydial conjunctivitis,,354
2,A748 Other chlamydial diseases,,355
2,"A749 Chlamydial infection, unspecified",,356
2,A75 Typhus fever,,357
2,A750 Epidemic louse-borne typhus fever due to Rickettsia prowazekii,,358
2,A751 Recrudescent typhus [Brills disease],,359
2,A752 Typhus fever due to Rickettsia typhi,,360
2,A753 Typhus fever due to Rickettsia tsutsugamushi,,361
2,"A759 Typhus fever, unspecified",,362
2,A77 Spotted fever [tick-borne rickettsioses],,363
2,A770 Spotted fever due to Rickettsia rickettsii,,364
2,A771 Spotted fever due to Rickettsia conorii,,365
2,A772 Spotted fever due to Rickettsia sibirica,,366
2,A773 Spotted fever due to Rickettsia australis,,367
2,A778 Other spotted fevers,,368
2,"A779 Spotted fever, unspecified",,369
2,A78 Q fever,,370
2,A79 Other rickettsioses,,371
2,A790 Trench fever,,372
2,A791 Rickettsialpox due to Rickettsia akari,,373
2,A798 Other specified rickettsioses,,374
2,"A799 Rickettsiosis, unspecified",,375
2,A80 Acute poliomyelitis,,376
2,"A800 Acute paralytic poliomyelitis, vaccine-associated",,377
2,"A801 Acute paralytic poliomyelitis, wild virus, imported",,378
2,"A802 Acute paralytic poliomyelitis, wild virus, indigenous",,379
2,"A803 Acute paralytic poliomyelitis, other and unspecified",,380
2,A804 Acute nonparalytic poliomyelitis,,381
2,"A809 Acute poliomyelitis, unspecified",,382
2,A81 Atypical virus infections of central nervous system,,383
2,A810 Creutzfeldt-Jakob disease,,384
2,A811 Subacute sclerosing panencephalitis,,385
2,A812 Progressive multifocal leukoencephalopathy,,386
2,A818 Other atypical virus infections of central nervous system,,387
2,"A819 Atypical virus infection of central nervous system, unspecified",,388
2,A82 Rabies,,389
2,A820 Sylvatic rabies,,390
2,A821 Urban rabies,,391
2,"A829 Rabies, unspecified",,392
2,A83 Mosquito-borne viral encephalitis,,393
2,A830 Japanese encephalitis,,394
2,A831 Western equine encephalitis,,395
2,A832 Eastern equine encephalitis,,396
2,A833 St Louis encephalitis,,397
2,A834 Australian encephalitis,,398
2,A835 California encephalitis,,399
2,A836 Rocio virus disease,,400
2,A838 Other mosquito-borne viral encephalitis,,401
2,"A839 Mosquito-borne viral encephalitis, unspecified",,402
2,A84 Tick-borne viral encephalitis,,403
2,A840 Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis],,404
2,A841 Central European tick-borne encephalitis,,405
2,A848 Other tick-borne viral encephalitis,,406
2,"A849 Tick-borne viral encephalitis, unspecified",,407
2,"A85 Other viral encephalitis, NEC",,408
2,A850 Enteroviral encephalitis,,409
2,A851 Adenoviral encephalitis,,410
2,"A852 Arthropod-borne viral encephalitis, unspecified",,411
2,A858 Other specified viral encephalitis,,412
2,A86 Unspecified viral encephalitis,,413
2,A87 Viral meningitis,,414
2,A870 Enteroviral meningitis,,415
2,A871 Adenoviral meningitis,,416
2,A872 Lymphocytic choriomeningitis,,417
2,A878 Other viral meningitis,,418
2,"A879 Viral meningitis, unspecified",,419
2,"A88 Other viral infections of central nervous system, NEC",,420
2,A880 Enteroviral exanthematous fever [Boston exanthem],,421
2,A881 Epidemic vertigo,,422
2,A888 Other specified viral infections of central nervous system,,423
2,A89 Unspecified viral infection of central nervous system,,424
2,A90 Dengue fever [classical dengue],,425
2,A91 Dengue haemorrhagic fever,,426
2,A92 Other mosquito-borne viral fevers,,427
2,A920 Chikungunya virus disease,,428
2,A921 Onyong-nyong fever,,429
2,A922 Venezuelan equine fever,,430
2,A923 West Nile fever,,431
2,A924 Rift Valley fever,,432
2,A928 Other specified mosquito-borne viral fevers,,433
2,"A929 Mosquito-borne viral fever, unspecified",,434
2,"A93 Other arthropod-borne viral fevers, NEC",,435
2,A930 Oropouche virus disease,,436
2,A931 Sandfly fever,,437
2,A932 Colorado tick fever,,438
2,A938 Other specified arthropod-borne viral fevers,,439
2,A94 Unspecified arthropod-borne viral fever,,440
2,A95 Yellow fever,,441
2,A950 Sylvatic yellow fever,,442
2,A951 Urban yellow fever,,443
2,"A959 Yellow fever, unspecified",,444
2,A96 Arenaviral haemorrhagic fever,,445
2,A960 Junin haemorrhagic fever,,446
2,A961 Machupo haemorrhagic fever,,447
2,A962 Lassa fever,,448
2,A968 Other arenaviral haemorrhagic fevers,,449
2,"A969 Arenaviral haemorrhagic fever, unspecified",,450
2,"A98 Other viral haemorrhagic fevers, NEC",,451
2,A980 Crimean-Congo haemorrhagic fever,,452
2,A981 Omsk haemorrhagic fever,,453
2,A982 Kyasanur Forest disease,,454
2,A983 Marburg virus disease,,455
2,A984 Ebola virus disease,,456
2,A985 Haemorrhagic fever with renal syndrome,,457
2,A988 Other specified viral haemorrhagic fevers,,458
2,A99 Unspecified viral haemorrhagic fever,,459
2,B00 Herpesviral [herpes simplex] infections,,460
2,B000 Eczema herpeticum,,461
2,B001 Herpesviral vesicular dermatitis,,462
2,B002 Herpesviral gingivostomatitis and pharyngotonsillitis,,463
2,B003 Herpesviral meningitis,,464
2,B004 Herpesviral encephalitis,,465
2,B005 Herpesviral ocular disease,,466
2,B007 Disseminated herpesviral disease,,467
2,B008 Other forms of herpesviral infection,,468
2,"B009 Herpesviral infection, unspecified",,469
2,B01 Varicella [chickenpox],,470
2,B010 Varicella meningitis,,471
2,B011 Varicella encephalitis,,472
2,B012 Varicella pneumonia,,473
2,B018 Varicella with other complications,,474
2,B019 Varicella without complication,,475
2,B02 Zoster [herpes zoster],,476
2,B020 Zoster encephalitis,,477
2,B021 Zoster meningitis,,478
2,B022 Zoster with other nervous system involvement,,479
2,B023 Zoster ocular disease,,480
2,B028 Zoster with other complications,,481
2,B029 Zoster without complication,,482
2,B03 Smallpox,,483
2,B04 Monkeypox,,484
2,B05 Measles,,485
2,B050 Measles complicated by encephalitis,,486
2,B051 Measles complicated by meningitis,,487
2,B052 Measles complicated by pneumonia,,488
2,B053 Measles complicated by otitis media,,489
2,B054 Measles with intestinal complications,,490
2,B058 Measles with other complications,,491
2,B059 Measles without complication,,492
2,B06 Rubella [German measles],,493
2,B060 Rubella with neurological complications,,494
2,B068 Rubella with other complications,,495
2,B069 Rubella without complication,,496
2,B07 Viral warts,,497
2,"B08 Other viral infections characterized by skin and mucous membrane lesions, NEC",,498
2,B080 Other orthopoxvirus infections,,499
2,B081 Molluscum contagiosum,,500
2,B082 Exanthema subitum [sixth disease],,501
2,B083 Erythema infectiosum [fifth disease],,502
2,B084 Enteroviral vesicular stomatitis with exanthem,,503
2,B085 Enteroviral vesicular pharyngitis,,504
2,B088 Other specified viral infections characterized by skin and mucous membrane lesions,,505
2,B09 Unspecified viral infection characterized by skin and mucous membrane lesions,,506
2,B15 Acute hepatitis A,,507
2,B150 Hepatitis A with hepatic coma,,508
2,B159 Hepatitis A without hepatic coma,,509
2,B16 Acute hepatitis B,,510
2,B160 Acute hepatitis B with delta-agent (coinfection) with hepatic coma,,511
2,B161 Acute hepatitis B with delta-agent (coinfection) without hepatic coma,,512
2,B162 Acute hepatitis B without delta-agent with hepatic coma,,513
2,B169 Acute hepatitis B without delta-agent and without hepatic coma,,514
2,B17 Other acute viral hepatitis,,515
2,B170 Acute delta-(super)infection of hepatitis B carrier,,516
2,B171 Acute hepatitis C,,517
2,B172 Acute hepatitis E,,518
2,B178 Other specified acute viral hepatitis,,519
2,"B589 Toxoplasmosis, unspecified",,728
2,"B179 Acute viral hepatitis, unspecified",,520
2,B18 Chronic viral hepatitis,,521
2,B180 Chronic viral hepatitis B with delta-agent,,522
2,B181 Chronic viral hepatitis B without delta-agent,,523
2,B182 Chronic viral hepatitis C,,524
2,B188 Other chronic viral hepatitis,,525
2,"B189 Chronic viral hepatitis, unspecified",,526
2,B19 Unspecified viral hepatitis,,527
2,B190 Unspecified viral hepatitis hepatic with coma,,528
2,B199 Unspecified viral hepatitis without hepatic coma,,529
2,B20 Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,,530
2,B200 HIV disease resulting in mycobacterial infection,,531
2,B201 HIV disease resulting in other bacterial infections,,532
2,B202 HIV disease resulting in cytomegaloviral disease,,533
2,B203 HIV disease resulting in other viral infections,,534
2,B204 HIV disease resulting in candidiasis,,535
2,B205 HIV disease resulting in other mycoses,,536
2,B206 HIV disease resulting in Pneumocystis carinii pneumonia,,537
2,B207 HIV disease resulting in multiple infections,,538
2,B208 HIV disease resulting in other infectious and parasitic diseases,,539
2,B209 HIV disease resulting in unspecified infectious or parasitic disease,,540
2,B21 Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,,541
2,B210 HIV disease resulting in Kaposis sarcoma,,542
2,B211 HIV disease resulting in Burkitts lymphoma,,543
2,B212 HIV disease resulting in other types of non-Hodgkins lymphoma,,544
2,"B213 HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue",,545
2,B217 HIV disease resulting in multiple malignant neoplasms,,546
2,B218 HIV disease resulting in other malignant neoplasms,,547
2,B219 HIV disease resulting in unspecified malignant neoplasm,,548
2,B22 Human immunodeficiency virus [HIV] disease resulting in other specified diseases,,549
2,B220 HIV disease resulting in encephalopathy,,550
2,B221 HIV disease resulting in lymphoid interstitial pneumonitis,,551
2,B222 HIV disease resulting in wasting syndrome,,552
2,B227 HIV disease resulting in multiple diseases classified elsewhere,,553
2,B23 Human immunodeficiency virus [HIV] disease resulting in other conditions,,554
2,B230 Acute HIV infection syndrome,,555
2,B231 HIV disease resulting in (persistent) generalized lymphadenopathy,,556
2,"B232 HIV disease resulting in haematological and immunological abnormalities, NEC",,557
2,B238 HIV disease resulting in other specified conditions,,558
2,B24 Unspecified human immunodeficiency virus [HIV] disease,,559
2,B25 Cytomegaloviral disease,,560
2,B250 Cytomegaloviral pneumonitis,,561
2,B251 Cytomegaloviral hepatitis,,562
2,B252 Cytomegaloviral pancreatitis,,563
2,B258 Other cytomegaloviral diseases,,564
2,"B259 Cytomegaloviral disease, unspecified",,565
2,B26 Mumps,,566
2,B260 Mumps orchitis,,567
2,B261 Mumps meningitis,,568
2,B262 Mumps encephalitis,,569
2,B263 Mumps pancreatitis,,570
2,B268 Mumps with other complications,,571
2,B269 Mumps without complication,,572
2,B27 Infectious mononucleosis,,573
2,B270 Gammaherpesviral mononucleosis,,574
2,B271 Cytomegaloviral mononucleosis,,575
2,B278 Other infectious mononucleosis,,576
2,"B279 Infectious mononucleosis, unspecified",,577
2,B30 Viral conjunctivitis,,578
2,B300 Keratoconjunctivitis due to adenovirus,,579
2,B301 Conjunctivitis due to adenovirus,,580
2,B302 Viral pharyngoconjunctivitis,,581
2,B303 Acute epidemic haemorrhagic conjunctivitis (enteroviral),,582
2,B308 Other viral conjunctivitis,,583
2,"B309 Viral conjunctivitis, unspecified",,584
2,"B33 Other viral diseases, NEC",,585
2,B330 Epidemic myalgia,,586
2,B331 Ross River disease,,587
2,B332 Viral carditis,,588
2,"B333 Retrovirus infections, NEC",,589
2,B334 Hantavirus (cardio-)pulmonary syndrome [HPS] [HCPS],,590
2,B338 Other specified viral diseases,,591
2,B34 Viral infection of unspecified site,,592
2,"B340 Adenovirus infection, unspecified",,593
2,"B341 Enterovirus infection, unspecified",,594
2,"B342 Coronavirus infection, unspecified",,595
2,"B343 Parvovirus infection, unspecified",,596
2,"B344 Papovavirus infection, unspecified",,597
2,B348 Other viral infections of unspecified site,,598
2,"B349 Viral infection, unspecified",,599
2,B35 Dermatophytosis,,600
2,B350 Tinea barbae and tinea capitis,,601
2,B351 Tinea unguium,,602
2,B352 Tinea manuum,,603
2,B353 Tinea pedis,,604
2,B354 Tinea corporis,,605
2,B355 Tinea imbricata,,606
2,B356 Tinea cruris,,607
2,B358 Other dermatophytoses,,608
2,"B359 Dermatophytosis, unspecified",,609
2,B36 Other superficial mycoses,,610
2,B360 Pityriasis versicolor,,611
2,B361 Tinea nigra,,612
2,B362 White piedra,,613
2,B363 Black piedra,,614
